Year,Month,DayofMonth,DayOfWeek,Reporting_Airline,Tail_Number,Flight_Number,Origin,Dest,CRSDepTime,DepDelay,DepDel15,cancelled,awnd,prcp,snow,tmin,tmax
2019,1,4,5,OO,N945SW,5664,SFO,BOI,1615,-1,0,0,17,0,0,172,39
2019,1,4,5,OO,N145SY,5668,DEN,DFW,803,-4,0,0,42,0,0,167,-10
2019,1,4,5,OO,N693BR,5670,ORD,RIC,645,23,1,0,36,0,0,89,-5
2019,1,4,5,OO,N213SY,5671,DEN,COS,1905,-5,0,0,42,0,0,167,-10
2019,1,4,5,OO,N787SK,5674,SFO,ASE,1050,-11,0,0,17,0,0,172,39
2019,1,4,5,OO,N937EV,5678,DEN,TUS,1535,-9,0,0,42,0,0,167,-10
2019,1,4,5,OO,N124SY,5679,ORD,SYR,1800,4,0,0,36,0,0,89,-5
2019,1,4,5,OO,N211SY,5682,SFO,DFW,830,3,0,0,17,0,0,172,39
2019,1,4,5,OO,N908SW,5685,SFO,OTH,1130,3,0,0,17,0,0,172,39
2019,1,4,5,OO,N795SK,5687,SFO,SNA,1430,-5,0,0,17,0,0,172,39
2019,1,4,5,OO,N947SW,5688,DEN,BOI,1525,-5,0,0,42,0,0,167,-10
2019,1,4,5,OO,N956SW,5689,SFO,PSC,1255,2,0,0,17,0,0,172,39
2019,1,4,5,OO,N161SY,5691,ORD,BOI,1930,8,0,0,36,0,0,89,-5
2019,1,4,5,OO,N114SY,5695,SFO,MCI,1908,-11,0,0,17,0,0,172,39
2019,1,4,5,OO,N956SW,5696,SFO,FAT,1912,-7,0,0,17,0,0,172,39
2019,1,4,5,OO,N951SW,5698,ORD,SBN,2000,-4,0,0,36,0,0,89,-5
2019,1,4,5,OO,N982SW,5700,SFO,RDM,2245,-5,0,0,17,0,0,172,39
2019,1,4,5,OO,N960SW,5701,SFO,SBP,1537,-3,0,0,17,0,0,172,39
2019,1,4,5,OO,N961SW,5703,SFO,MFR,2015,-3,0,0,17,0,0,172,39
2019,1,4,5,OO,N946SW,5705,DEN,MFR,1449,-11,0,0,42,0,0,167,-10
2019,1,4,5,OO,N743SK,5706,SFO,ASE,1655,-5,0,0,17,0,0,172,39
2019,1,4,5,OO,N203SY,5707,SFO,MSP,2245,10,0,0,17,0,0,172,39
2019,1,4,5,OO,N973SW,5709,SFO,STS,2100,-5,0,0,17,0,0,172,39
2019,1,4,5,OO,N960SW,5710,SFO,BZN,752,-6,0,0,17,0,0,172,39
2019,1,4,5,OO,N961SW,5713,DEN,SBA,1135,-3,0,0,42,0,0,167,-10
2019,1,4,5,OO,N960SW,5714,SFO,SBP,2256,-4,0,0,17,0,0,172,39
2019,1,4,5,OO,N982SW,5719,DEN,EUG,1120,12,0,0,42,0,0,167,-10
2019,1,4,5,OO,N743SK,5726,DEN,ASE,1235,62,1,0,42,0,0,167,-10
2019,1,4,5,OO,N156SY,5728,SFO,SNA,1810,1,0,0,17,0,0,172,39
2019,1,4,5,OO,N472CA,5730,SFO,RDD,1244,-5,0,0,17,0,0,172,39
2019,1,4,5,OO,N168SY,5731,SFO,RNO,1505,-6,0,0,17,0,0,172,39
2019,1,4,5,OO,N792SK,5733,DEN,ASE,2025,760,1,0,42,0,0,167,-10
2019,1,4,5,OO,N107SY,5734,DEN,OKC,1734,-4,0,0,42,0,0,167,-10
2019,1,4,5,OO,N156SY,5736,DFW,LAX,620,-5,0,0,42,0,0,150,28
2019,1,4,5,OO,N211SY,5739,DFW,LAX,1455,-2,0,0,42,0,0,150,28
2019,1,4,5,OO,N114SY,5740,SFO,SEA,1310,-5,0,0,17,0,0,172,39
2019,1,4,5,OO,N151SY,5746,SFO,SMF,1907,-6,0,0,17,0,0,172,39
2019,1,4,5,OO,N925SW,5749,DEN,COS,2205,-11,0,0,42,0,0,167,-10
2019,1,4,5,OO,N209SY,5751,DEN,SAT,1746,-5,0,0,42,0,0,167,-10
2019,1,4,5,OO,N926SW,5753,SFO,RDD,1605,-8,0,0,17,0,0,172,39
2019,1,4,5,OO,N779SK,5759,DEN,MMH,1115,-10,0,0,42,0,0,167,-10
2019,1,4,5,OO,N789SK,5761,ORD,ASE,1950,-9,0,0,36,0,0,89,-5
2019,1,4,5,OO,N937EV,5769,SFO,RDD,2050,-8,0,0,17,0,0,172,39
2019,1,4,5,OO,N157SY,5771,SFO,BOI,2052,-6,0,0,17,0,0,172,39
2019,1,4,5,OO,N927SW,5772,DEN,BFL,1115,-3,0,0,42,0,0,167,-10
2019,1,4,5,OO,N791SK,5775,ORD,ASE,756,135,1,0,36,0,0,89,-5
2019,1,4,5,OO,N910SW,5778,ORD,GRB,1733,3,0,0,36,0,0,89,-5
2019,1,4,5,OO,N464SW,5779,DEN,SHV,1240,-2,0,0,42,0,0,167,-10
2019,1,4,5,OO,N709BR,5782,SFO,RDM,1605,-6,0,0,17,0,0,172,39
2019,1,4,5,OO,N166SY,5788,SFO,STL,1710,-8,0,0,17,0,0,172,39
2019,1,4,5,OO,N929EV,5800,SFO,RDM,1756,-10,0,0,17,0,0,172,39
2019,1,4,5,OO,N133SY,5802,SFO,TUS,845,22,1,0,17,0,0,172,39
